model,label,precision,recall,f1-score,support
MLP,10,0.4105263157894737,0.5652173913043478,0.47560975609756095,69.0
MLP,12,0.3673469387755102,0.5142857142857142,0.42857142857142855,70.0
MLP,17,0.5679012345679012,0.35384615384615387,0.43601895734597157,130.0
MLP,18,0.3786407766990291,0.5652173913043478,0.45348837209302323,69.0
MLP,23,0.55,0.39568345323741005,0.4602510460251046,139.0
MLP,accuracy,,,0.45073375262054505,
MLP,macro avg,0.45488305316638283,0.4788500207955947,0.45078791202661783,477.0
MLP,weighted avg,0.48311105993672865,0.45073375262054505,0.4502413641459458,477.0
XGBoost,10,0.45454545454545453,0.21739130434782608,0.29411764705882354,69.0
XGBoost,12,0.38461538461538464,0.2857142857142857,0.32786885245901637,70.0
XGBoost,17,0.5337837837837838,0.6076923076923076,0.5683453237410072,130.0
XGBoost,18,0.4090909090909091,0.2608695652173913,0.3185840707964602,69.0
XGBoost,23,0.5,0.7194244604316546,0.5899705014749262,139.0
XGBoost,accuracy,,,0.4863731656184486,
XGBoost,macro avg,0.4564071064071064,0.41821838468069306,0.41977727910604673,477.0
XGBoost,weighted avg,0.47254901028485935,0.4863731656184486,0.46355981131130275,477.0
