species_id,decision_zone,n_observations,accuracy,mean_probability
10,Zona de Confianza,1,0.0,0.85851336
10,Zona de Incertidumbre,52,0.19230769230769232,0.572032863076923
10,Zona de Rechazo,16,0.3125,0.35151575
12,Zona de Confianza,2,0.0,0.9066371
12,Zona de Incertidumbre,55,0.2909090909090909,0.56597782
12,Zona de Rechazo,13,0.3076923076923077,0.33890668230769233
17,Zona de Confianza,8,1.0,0.8793305625
17,Zona de Incertidumbre,100,0.62,0.5931909379
17,Zona de Rechazo,22,0.4090909090909091,0.34530681954545456
18,Zona de Incertidumbre,63,0.2698412698412698,0.5824996600000001
18,Zona de Rechazo,6,0.16666666666666666,0.3385825183333333
23,Zona de Confianza,2,0.5,0.898565025
23,Zona de Incertidumbre,123,0.7235772357723578,0.5904382939837398
23,Zona de Rechazo,14,0.7142857142857143,0.35677295
